EV	Name	Team	TEV	Pos	GP	SGP	G	A	P	ESP
67.087	Adrian Kempe	LAK	0.919	F	81	32	35	38	73	54
65.000	Pavel Dorofeyev	VGK	1.250	F	82	30	35	17	52	35
63.971	Wyatt Johnston	DAL	0.901	F	82	31	33	38	71	43
63.750	Ivan Barbashev	VGK	1.250	F	70	28	23	28	51	48
61.788	Connor McMichael	WSH	1.084	F	82	31	26	31	57	46
61.573	Anze Kopitar	LAK	0.919	F	81	32	21	46	67	44
60.367	Roope Hintz	DAL	0.901	F	76	29	28	39	67	45
59.798	Matthew Knies	TOR	1.031	F	78	31	29	29	58	42
59.466	Mikael Granlund	DAL	0.901	F	83	31	22	44	66	46
59.000	Cole Perfetti	WPG	1.180	F	82	29	18	32	50	35
55.140	Kevin Fiala	LAK	0.919	F	81	33	35	25	60	35
54.950	Jack Hughes	NJD	0.785	F	62	9	27	43	70	41
54.606	Matthew Tkachuk	FLA	0.958	F	52	5	22	35	57	34
54.240	Andrei Svechnikov	CAR	1.130	F	72	20	20	28	48	30
54.165	Nico Hischier	NJD	0.785	F	75	24	35	34	69	38
53.483	Tim Stützle	OTT	0.677	F	82	31	24	55	79	46
52.752	Brock Nelson	COL	0.942	F	80	30	26	30	56	46
52.038	Anthony Cirelli	TBL	0.882	F	80	31	27	32	59	47
50.774	Carter Verhaeghe	FLA	0.958	F	81	29	20	33	53	37
50.000	Brett Howden	VGK	1.250	F	80	29	23	17	40	39
50.000	Reilly Smith	VGK	1.250	F	79	30	13	27	40	31
49.626	Quinton Byfield	LAK	0.919	F	81	32	23	31	54	46
48.858	Sam Bennett	FLA	0.958	F	76	26	25	26	51	40
48.858	Brad Marchand	FLA	0.958	F	71	18	23	28	51	37
47.460	Taylor Hall	CAR	1.130	F	77	29	18	24	42	33
46.036	Drake Batherson	OTT	0.677	F	82	31	26	42	68	37
44.840	Vladislav Namestnikov	WPG	1.180	F	78	29	11	27	38	26
44.149	Jamie Benn	DAL	0.901	F	80	29	16	33	49	39
44.070	Jack Roslovic	CAR	1.130	F	81	30	22	17	39	37
43.660	Nino Niederreiter	WPG	1.180	F	82	29	17	20	37	26
43.110	Anton Lundell	FLA	0.958	F	79	28	17	28	45	37
42.940	Logan Stankoven	CAR	1.130	F	78	29	14	24	38	30
42.390	Artturi Lehkonen	COL	0.942	F	69	28	27	18	45	39
42.347	Mason Marchment	DAL	0.901	F	62	29	22	25	47	37
42.274	Warren Foegele	LAK	0.919	F	82	33	24	22	46	44
41.605	Timo Meier	NJD	0.785	F	80	28	26	27	53	40
41.356	Ryan Nugent-Hopkins	EDM	0.844	F	78	28	20	29	49	27
40.986	Robert Thomas	STL	0.506	F	70	30	21	60	81	61
40.680	Jordan Martinook	CAR	1.130	F	79	27	15	21	36	35
40.680	Jordan Staal	CAR	1.130	F	75	23	13	23	36	34
40.572	Oliver Bjorkstrand	TBL	0.882	F	79	27	21	25	46	34
40.495	Nicholas Suzuki	MTL	0.455	F	82	31	30	59	89	60
40.120	Adam Lowry	WPG	1.180	F	73	25	16	18	34	32
39.517	Phillip Danault	LAK	0.919	F	80	32	8	35	43	41
38.750	Nicolas Roy	VGK	1.250	F	71	30	15	16	31	27
38.598	Alex Laferriere	LAK	0.919	F	77	32	19	23	42	38
38.420	Jackson Blake	CAR	1.130	F	80	28	17	17	34	27
37.500	Brandon Saad	VGK	1.250	F	72	29	13	17	30	27
37.500	Keegan Kolesar	VGK	1.250	F	82	30	12	18	30	29
37.290	Jesperi Kotkaniemi	CAR	1.130	F	78	26	12	21	33	32
37.235	Brady Tkachuk	OTT	0.677	F	72	21	29	26	55	32
37.136	Zach Hyman	EDM	0.844	F	73	27	27	17	44	32
36.760	Trevor Moore	LAK	0.919	F	71	31	18	22	40	36
36.580	Alex Iafallo	WPG	1.180	F	82	29	15	16	31	21
36.250	Victor Olofsson	VGK	1.250	F	56	25	15	14	29	21
36.250	William Karlsson	VGK	1.250	F	53	15	9	20	29	21
36.162	Nick Paul	TBL	0.882	F	76	32	22	19	41	35
36.160	Eric Robinson	CAR	1.130	F	82	30	14	18	32	32
36.040	Evgeny Dadonov	DAL	0.901	F	80	29	20	20	40	33
35.420	Jordan Kyrou	STL	0.506	F	82	30	36	34	70	53
35.054	Bobby McMann	TOR	1.031	F	74	31	20	14	34	28
34.854	Jonathan Drouin	COL	0.942	F	43	23	11	26	37	25
34.023	Max Domi	TOR	1.031	F	74	31	8	25	33	26
34.003	Andrei Kuzmenko	LAK	0.919	F	66	29	11	26	37	24
33.850	Claude Giroux	OTT	0.677	F	81	30	15	35	50	31
33.750	Tanner Pearson	VGK	1.250	F	78	26	12	15	27	26
33.507	Matthew Boldy	MIN	0.459	F	82	30	27	46	73	52
32.970	Charlie Coyle	COL	0.942	F	83	30	17	18	35	27
32.185	Stefan Noesen	NJD	0.785	F	78	27	22	19	41	26
32.028	Valeri Nichushkin	COL	0.942	F	43	22	21	13	34	26
31.878	Dylan Holloway	STL	0.506	F	77	25	26	37	63	50
31.850	Cole Caufield	MTL	0.455	F	82	31	37	33	70	53
31.819	Dylan Cozens	OTT	0.677	F	82	31	16	31	47	35
30.656	Evan Rodrigues	FLA	0.958	F	82	30	15	17	32	25
30.352	Andrew Mangiapane	WSH	1.084	F	81	31	14	14	28	23
29.698	Matthew Samoskevich	FLA	0.958	F	72	25	15	16	31	20
29.268	Nic Dowd	WSH	1.084	F	82	31	14	13	27	25
29.268	Taylor Raddysh	WSH	1.084	F	80	29	7	20	27	26
28.842	Pavel Buchnevich	STL	0.506	F	76	26	20	37	57	43
28.260	Dawson Mercer	NJD	0.785	F	82	29	19	17	36	27
27.757	Fabian Zetterlund	OTT	0.677	F	84	30	19	22	41	34
27.540	Marco Rossi	MIN	0.459	F	82	30	24	36	60	44
27.342	Yanni Gourde	TBL	0.882	F	57	22	7	24	31	30
27.318	Ross Colton	COL	0.942	F	61	25	16	13	29	22
27.100	Anthony Beauvillier	WSH	1.084	F	81	29	15	10	25	23
25.320	Corey Perry	EDM	0.844	F	81	31	19	11	30	23
25.320	Connor Brown	EDM	0.844	F	82	31	13	17	30	28
25.300	Brayden Schenn	STL	0.506	F	82	30	18	32	50	43
25.049	Shane Pinto	OTT	0.677	F	70	27	21	16	37	30
24.786	Mats Zuccarello	MIN	0.459	F	69	30	19	35	54	38
24.476	Jeff Skinner	EDM	0.844	F	72	27	16	13	29	27
23.276	Jake Neighbours	STL	0.506	F	82	30	22	24	46	34
23.205	Juraj Slafkovsky	MTL	0.455	F	79	31	18	33	51	41
23.018	Ridly Greig	OTT	0.677	F	78	30	13	21	34	21
22.788	Viktor Arvidsson	EDM	0.844	F	67	31	15	12	27	24
22.788	Adam Henrique	EDM	0.844	F	81	30	12	15	27	20
22.764	Brandon Duhaime	WSH	1.084	F	82	31	9	12	21	20
22.682	Nick Robertson	TOR	1.031	F	69	26	15	7	22	20
22.525	Mavrik Bourque	DAL	0.901	F	73	27	11	14	25	22
22.525	Sam Steel	DAL	0.901	F	79	29	6	19	25	22
21.980	Ondrej Palat	NJD	0.785	F	77	26	15	13	28	23
18.279	Mike Amadio	OTT	0.677	F	72	31	11	16	27	26
18.216	Zachary Bolduc	STL	0.506	F	72	30	19	17	36	24
17.640	Gage Goncalves	TBL	0.882	F	60	32	8	12	20	18
17.290	Brendan Gallagher	MTL	0.455	F	82	31	21	17	38	31
17.270	Cody Glass	NJD	0.785	F	65	25	6	16	22	20
16.983	Frederick Gaudreau	MIN	0.459	F	82	30	18	19	37	32
16.485	Erik Haula	NJD	0.785	F	69	27	11	10	21	16
16.380	Jake Evans	MTL	0.455	F	82	31	13	23	36	30
15.606	Marcus Johansson	MIN	0.459	F	72	28	11	23	34	27
15.015	Patrik Laine	MTL	0.455	F	52	29	20	13	33	14
15.015	Christian Dvorak	MTL	0.455	F	82	31	12	21	33	31
13.311	Marcus Foligno	MIN	0.459	F	77	25	14	15	29	29
12.852	Gustav Nyquist	MIN	0.459	F	79	30	11	17	28	23
12.285	Josh Anderson	MTL	0.455	F	81	30	15	12	27	26
11.934	Ryan Hartman	MIN	0.459	F	69	22	11	15	26	19
11.830	Alex Newhook	MTL	0.455	F	82	31	15	11	26	22
10.120	Oscar Sundqvist	STL	0.506	F	67	29	6	14	20	13
