Rk		Name	Team	Age	Pos	GP	G	A	P	PIM	+/-	TOI	ES	PP	SH	ESG	PPG	SHG	GWG	OTG	ESA	PPA	SHA	GWA	OTA	ESP	PPP	SHP	GWP	OTP	PPP%	G/60	A/60	P/60	ESG/60	ESA/60	ESP/60	PPG/60	PPA/60	PPP/60	G/GP	A/GP	P/GP	SHOTS	SH%	HITS	BS	FOW	FOL	FO%
18	CA	William Nylander	TOR	28	F	82	45	39	84	26	10	19:30	16:16	3:12	0:01	33	12	0	8	2	21	18	0	8	1	54	30	0	16	3	35.7%	1.688	1.463	3.150	1.484	0.944	2.428	2.734	4.100	6.834	0.549	0.476	1.024	253	17.8%	14	27	76	77	49.67%
19	CA	Martin Necas	COL	25	F	79	27	56	83	16	5	18:59	15:21	3:35	0:03	15	12	0	8	0	31	25	0	10	4	46	37	0	18	4	44.6%	1.079	2.239	3.318	0.742	1.534	2.276	2.541	5.293	7.834	0.342	0.709	1.051	194	13.9%	62	23	51	84	37.78%
20	CA	Brayden Point	TBL	28	F	77	42	40	82	7	17	19:28	15:59	3:27	0:01	26	16	0	7	2	25	15	0	7	0	51	31	0	14	2	37.8%	1.680	1.600	3.280	1.267	1.218	2.485	3.599	3.374	6.974	0.545	0.519	1.065	189	22.2%	26	45	430	456	48.53%
21	CA	Matt Duchene	DAL	33	F	82	30	52	82	12	13	17:08	14:33	2:30	0:04	22	8	0	6	1	33	19	0	9	2	55	27	0	15	3	32.9%	1.280	2.220	3.500	1.106	1.659	2.765	2.327	5.528	7.855	0.366	0.634	1.000	152	19.7%	29	21	440	400	52.38%
22	CA	Dylan Strome	WSH	27	F	82	29	53	82	34	2	17:23	14:21	2:59	0:01	20	9	0	3	0	28	25	0	12	4	48	34	0	15	4	41.5%	1.221	2.231	3.452	1.019	1.426	2.445	2.197	6.102	8.299	0.354	0.646	1.000	149	19.5%	23	54	691	596	53.69%
23	CA	Zachary Werenski	CBJ	27	D	81	23	59	82	31	12	26:44	22:27	2:41	1:35	17	5	1	5	2	37	20	2	8	1	54	25	3	13	3	30.5%	0.637	1.634	2.271	0.561	1.220	1.781	1.378	5.513	6.892	0.284	0.728	1.012	298	7.7%	19	131	0	0	0.00%
24	CA	Sam Reinhart	FLA	29	F	79	39	42	81	27	6	20:30	15:41	3:14	1:33	21	13	5	4	0	24	17	1	7	3	45	30	6	11	3	37.0%	1.445	1.556	3.001	1.016	1.161	2.177	3.043	3.980	7.023	0.494	0.532	1.025	213	18.3%	102	62	212	302	41.25%
25	CA	Robert Thomas	STL	25	F	70	21	60	81	20	20	19:57	16:14	2:24	1:18	17	3	1	5	1	44	16	0	16	4	61	19	1	21	5	23.5%	0.902	2.577	3.479	0.897	2.321	3.218	1.067	5.692	6.760	0.300	0.857	1.157	145	14.5%	13	48	733	605	54.78%
26	CA	Jake Guentzel	TBL	30	F	80	41	39	80	24	18	19:59	16:04	3:25	0:29	23	17	1	5	0	28	11	0	7	2	51	28	1	12	2	35.0%	1.538	1.463	3.001	1.073	1.306	2.380	3.724	2.409	6.133	0.513	0.488	1.000	217	18.9%	28	52	177	207	46.09%
27	CA	Jason Robertson	DAL	25	F	82	35	45	80	18	10	17:47	14:42	3:04	0:00	26	9	0	6	1	35	10	0	11	3	61	19	0	17	4	23.8%	1.439	1.850	3.290	1.293	1.741	3.034	2.138	2.376	4.514	0.427	0.549	0.976	211	16.6%	59	45	7	12	36.84%
28	CA	Lucas Raymond	DET	22	F	82	27	53	80	18	-15	18:47	14:58	3:04	0:43	18	8	1	5	1	24	29	0	6	1	42	37	1	11	2	46.3%	1.052	2.065	3.116	0.879	1.173	2.052	1.901	6.890	8.791	0.329	0.646	0.976	192	14.1%	42	34	1	7	12.50%
29	CA	Tim Stützle	OTT	22	F	82	24	55	79	46	0	19:48	16:16	3:30	0:01	19	5	0	2	2	27	28	0	11	4	46	33	0	13	6	41.8%	0.886	2.031	2.918	0.854	1.214	2.068	1.041	5.832	6.873	0.293	0.671	0.963	162	14.8%	129	45	195	213	47.79%
30	CA	Auston Matthews	TOR	27	F	67	33	45	78	20	11	20:28	15:51	2:59	1:37	21	10	2	2	1	30	15	0	7	4	51	25	2	9	5	32.1%	1.444	1.968	3.412	1.186	1.694	2.879	2.992	4.487	7.479	0.493	0.672	1.164	261	12.6%	45	89	695	528	56.83%
31	CA	Filip Forsberg	NSH	30	F	82	31	45	76	44	-27	18:37	15:25	3:10	0:01	21	10	0	3	0	29	16	0	12	1	50	26	0	15	1	34.2%	1.218	1.768	2.985	0.996	1.375	2.371	2.305	3.688	5.993	0.378	0.549	0.927	282	11.0%	150	52	4	13	23.53%
32	CA	Travis Konecny	PHI	27	F	82	24	52	76	53	-17	20:36	16:35	2:47	1:13	15	8	1	3	0	41	9	2	8	4	56	17	3	11	4	22.4%	0.852	1.847	2.699	0.662	1.808	2.470	2.094	2.356	4.450	0.293	0.634	0.927	188	12.8%	94	42	39	61	39.00%
33	CA	Quinn Hughes	VAN	25	D	68	16	60	76	29	2	25:43	21:50	3:42	0:10	12	4	0	3	0	35	25	0	10	5	47	29	0	13	5	38.2%	0.549	2.058	2.606	0.485	1.414	1.898	0.952	5.952	6.904	0.235	0.882	1.118	192	8.3%	13	67	0	0	0.00%
34	CA	John Tavares	TOR	34	F	75	38	36	74	46	10	18:13	15:21	2:50	0:01	26	12	0	8	1	28	8	0	6	2	54	20	0	14	3	27.0%	1.668	1.580	3.248	1.354	1.458	2.812	3.378	2.252	5.631	0.507	0.480	0.987	200	19.0%	91	45	762	546	58.26%
35	CA	Kirill Marchenko	CBJ	24	F	79	31	43	74	20	29	18:34	15:57	2:33	0:03	29	2	0	2	1	26	17	0	4	0	55	19	0	6	1	25.7%	1.267	1.757	3.024	1.380	1.237	2.616	0.593	5.043	5.636	0.392	0.544	0.937	207	15.0%	55	38	13	28	31.71%
36	CA	Sebastian Aho	CAR	27	F	79	29	45	74	46	7	20:06	14:49	3:33	1:43	21	5	3	9	5	23	18	4	4	0	44	23	7	13	5	31.1%	1.096	1.700	2.796	1.076	1.179	2.255	1.066	3.837	4.903	0.367	0.570	0.937	207	14.0%	59	30	663	535	55.34%
37	CA	Alexander Ovechkin	WSH	39	F	65	44	29	73	14	15	17:43	13:33	4:08	0:01	30	14	0	7	1	21	8	0	3	0	51	22	0	10	1	30.1%	2.291	1.510	3.802	2.043	1.430	3.473	3.115	1.780	4.896	0.677	0.446	1.123	237	18.6%	110	13	0	2	0.00%
38	CA	Adrian Kempe	LAK	28	F	81	35	38	73	36	22	19:09	14:58	2:45	1:26	27	7	1	5	1	27	11	0	8	3	54	18	1	13	4	24.7%	1.353	1.469	2.823	1.336	1.336	2.672	1.885	2.963	4.848	0.432	0.469	0.901	237	14.8%	99	36	11	13	45.83%
39	CA	Matthew Boldy	MIN	23	F	82	27	46	73	51	1	20:17	16:43	3:10	0:22	21	6	0	10	2	31	15	0	11	2	52	21	0	21	4	28.8%	0.974	1.659	2.633	0.919	1.356	2.275	1.380	3.450	4.831	0.329	0.561	0.890	271	10.0%	52	69	58	67	46.40%
40	CA	Tage Thompson	BUF	27	F	76	44	28	72	35	-2	18:45	15:46	2:54	0:04	37	7	0	6	0	19	9	0	5	0	56	16	0	11	0	22.2%	1.852	1.179	3.031	1.852	0.951	2.803	1.902	2.446	4.348	0.579	0.368	0.947	242	18.2%	70	31	301	403	42.76%
41	CA	Wyatt Johnston	DAL	21	F	82	33	38	71	14	2	18:55	14:23	3:02	1:29	19	11	3	4	1	24	14	0	6	1	43	25	3	10	2	35.2%	1.276	1.469	2.745	0.966	1.220	2.186	2.648	3.371	6.019	0.402	0.463	0.866	202	16.3%	45	47	465	444	51.16%
42	CA	Aleksander Barkov	FLA	29	F	67	20	51	71	16	1	20:15	15:27	3:16	1:30	10	9	1	4	2	29	19	3	4	0	39	28	4	8	2	39.4%	0.884	2.255	3.139	0.579	1.680	2.259	2.457	5.187	7.644	0.299	0.761	1.060	149	13.4%	87	54	580	446	56.53%
43	CA	Alex DeBrincat	DET	27	F	82	39	31	70	29	-13	17:52	14:51	2:59	0:01	26	13	0	4	1	15	16	0	6	2	41	29	0	10	3	41.4%	1.597	1.269	2.866	1.281	0.739	2.020	3.178	3.911	7.089	0.476	0.378	0.854	244	16.0%	33	38	26	32	44.83%
44	CA	Cole Caufield	MTL	23	F	82	37	33	70	14	9	18:04	14:58	3:05	0:00	27	10	0	8	1	26	7	0	6	4	53	17	0	14	5	24.3%	1.498	1.336	2.834	1.319	1.271	2.590	2.365	1.655	4.020	0.451	0.402	0.854	240	15.4%	65	31	6	9	40.00%
45	CA	Jordan Kyrou	STL	26	F	82	36	34	70	20	23	17:28	15:11	2:16	0:00	29	7	0	4	0	24	10	0	3	1	53	17	0	7	1	24.3%	1.507	1.423	2.930	1.397	1.156	2.554	2.245	3.207	5.451	0.439	0.415	0.854	239	15.1%	50	36	5	10	33.33%
46	CA	Rickard Rakell	PIT	31	F	81	35	35	70	14	-22	19:17	16:36	2:40	0:00	26	9	0	1	1	25	10	0	7	2	51	19	0	8	3	27.1%	1.343	1.343	2.687	1.160	1.115	2.275	2.486	2.762	5.247	0.432	0.432	0.864	203	17.2%	116	77	19	26	42.22%
47	CA	Dylan Larkin	DET	28	F	82	30	40	70	40	-16	20:04	15:50	3:08	1:05	17	13	0	3	0	26	14	0	3	1	43	27	0	6	1	38.6%	1.094	1.458	2.552	0.785	1.201	1.986	3.030	3.264	6.294	0.366	0.488	0.854	234	12.8%	44	33	871	728	54.47%
48	CA	Jack Hughes	NJD	23	F	62	27	43	70	18	12	20:54	16:52	3:12	0:49	20	6	1	7	2	21	21	1	6	1	41	27	2	13	3	38.6%	1.250	1.991	3.241	1.147	1.205	2.352	1.808	6.327	8.135	0.435	0.694	1.129	229	11.8%	6	29	251	416	37.63%
49	CA	J.T. Miller	NYR	31	F	72	22	48	70	55	-6	18:12	14:09	2:59	1:02	17	5	0	2	1	27	17	4	8	1	44	22	4	10	2	31.4%	1.007	2.198	3.205	1.000	1.589	2.589	1.394	4.738	6.132	0.306	0.667	0.972	137	16.1%	168	50	628	450	58.26%
50	CA	Nico Hischier	NJD	25	F	75	35	34	69	20	9	20:23	15:26	2:52	2:03	21	14	0	3	0	17	15	2	8	0	38	29	2	11	0	42.0%	1.373	1.334	2.707	1.088	0.881	1.968	3.886	4.164	8.051	0.467	0.453	0.920	187	18.7%	44	60	987	790	55.54%
51	CA	John Peterka	BUF	22	F	77	27	41	68	34	-1	18:11	15:15	2:54	0:00	21	6	0	3	0	29	12	0	5	1	50	18	0	8	1	26.5%	1.157	1.757	2.914	1.072	1.481	2.553	1.607	3.214	4.821	0.351	0.532	0.883	173	15.6%	30	16	2	10	16.67%
52	CA	Drake Batherson	OTT	26	F	82	26	42	68	30	-9	18:08	14:51	3:16	0:00	13	13	0	3	0	24	18	0	6	2	37	31	0	9	2	45.6%	1.049	1.694	2.743	0.640	1.182	1.822	2.904	4.021	6.925	0.317	0.512	0.829	192	13.5%	149	30	12	12	50.00%
53	CA	Rasmus Dahlin	BUF	24	D	73	17	51	68	54	11	24:14	20:22	3:09	0:42	12	5	0	1	1	34	16	1	10	0	46	21	1	11	1	30.9%	0.577	1.730	2.306	0.484	1.372	1.856	1.302	4.166	5.468	0.233	0.699	0.932	200	8.5%	100	98	0	0	0.00%
54	CA	Alex Tuch	BUF	28	F	82	36	31	67	47	16	19:15	14:47	2:19	2:09	27	3	6	4	1	20	8	3	3	1	47	11	9	7	2	16.4%	1.368	1.178	2.546	1.336	0.990	2.326	0.947	2.525	3.472	0.439	0.378	0.817	196	18.4%	73	113	77	111	40.96%
55	CA	Nazem Kadri	CGY	34	F	82	35	32	67	72	-17	19:21	16:21	2:54	0:05	26	9	0	5	2	19	13	0	8	0	45	22	0	13	2	32.8%	1.323	1.210	2.533	1.163	0.850	2.013	2.263	3.269	5.531	0.427	0.390	0.817	279	12.5%	55	30	677	787	46.24%
56	CA	Seth Jarvis	CAR	22	F	73	32	35	67	16	12	19:21	14:06	3:23	1:51	20	7	5	2	0	21	12	2	8	0	41	19	7	10	0	28.4%	1.359	1.486	2.845	1.165	1.223	2.388	1.700	2.914	4.614	0.438	0.479	0.918	204	15.7%	92	51	52	100	34.21%
57	CA	Roope Hintz	DAL	28	F	76	28	39	67	30	18	16:53	12:55	2:44	1:13	20	7	1	7	0	25	13	1	6	3	45	20	2	13	3	29.9%	1.309	1.823	3.131	1.222	1.527	2.749	2.011	3.736	5.747	0.368	0.513	0.882	160	17.5%	53	46	458	392	53.88%
58	CA	Connor Bedard	CHI	19	F	82	23	44	67	70	-36	20:17	17:36	2:36	0:03	12	11	0	5	1	26	18	0	7	1	38	29	0	12	2	43.3%	0.830	1.587	2.417	0.499	1.080	1.579	3.077	5.035	8.112	0.280	0.537	0.817	195	11.8%	47	37	251	405	38.26%
59	CA	Anze Kopitar	LAK	37	F	81	21	46	67	4	14	18:57	15:03	2:46	1:07	17	4	0	7	0	27	18	1	6	1	44	22	1	13	1	32.8%	0.821	1.798	2.618	0.837	1.329	2.166	1.067	4.802	5.869	0.259	0.568	0.827	98	21.4%	31	67	879	658	57.19%
60	CA	Mark Stone	VGK	32	F	66	19	48	67	14	22	19:15	15:28	2:37	1:09	14	5	0	4	0	27	20	1	7	1	41	25	1	11	1	37.3%	0.897	2.266	3.163	0.823	1.586	2.409	1.733	6.931	8.664	0.288	0.727	1.015	131	14.5%	32	42	5	10	33.33%
61	CA	Evan Bouchard	EDM	25	D	82	14	53	67	32	14	23:27	19:57	3:16	0:13	11	3	0	2	1	30	23	0	11	4	41	26	0	13	5	38.8%	0.437	1.653	2.090	0.403	1.100	1.504	0.669	5.130	5.799	0.171	0.646	0.817	235	6.0%	31	108	0	0	0.00%
62	CA	Alexei Protas	WSH	23	F	76	30	36	66	18	40	16:27	14:44	0:07	1:34	27	0	3	6	1	33	1	2	6	1	60	1	5	12	2	1.5%	1.439	1.727	3.166	1.445	1.767	3.212	0.000	6.207	6.207	0.395	0.474	0.868	142	21.1%	20	33	6	19	24.00%
63	CA	Mikael Granlund	DAL	32	F	83	22	44	66	28	0	19:26	15:04	2:50	1:32	16	5	1	4	1	30	14	0	4	3	46	19	1	8	4	28.8%	0.818	1.635	2.453	0.768	1.439	2.207	1.272	3.562	4.834	0.265	0.530	0.795	169	13.0%	57	60	359	365	49.59%
64	CA	Pierre-Luc Dubois	WSH	26	F	82	20	46	66	76	27	17:17	15:04	2:06	0:07	16	4	0	4	1	36	10	0	9	0	52	14	0	13	1	21.2%	0.846	1.946	2.792	0.777	1.748	2.525	1.391	3.477	4.868	0.244	0.561	0.805	142	14.1%	65	62	577	584	49.70%
65	CA	Victor Hedman	TBL	34	D	79	15	51	66	30	18	23:04	18:29	2:59	1:36	11	4	0	1	0	29	22	0	10	1	40	26	0	11	1	39.4%	0.494	1.678	2.172	0.452	1.191	1.643	1.018	5.600	6.618	0.190	0.646	0.835	181	8.3%	39	133	0	0	0.00%
66	CA	Lane Hutson	MTL	20	D	82	6	60	66	34	-2	22:43	19:42	2:48	0:13	5	1	0	0	0	35	25	0	12	4	40	26	0	12	4	39.4%	0.193	1.931	2.124	0.186	1.300	1.486	0.260	6.501	6.762	0.073	0.732	0.805	91	6.6%	40	123	0	0	0.00%
67	CA	Tom Wilson	WSH	30	F	81	33	32	65	100	20	18:43	14:20	2:48	1:35	20	11	2	6	2	23	6	3	4	0	43	17	5	10	2	26.2%	1.305	1.266	2.571	1.033	1.188	2.222	2.907	1.585	4.492	0.407	0.395	0.802	169	19.5%	233	71	5	14	26.32%
68	CA	Bryan Rust	PIT	32	F	71	31	34	65	18	-21	19:45	15:50	2:42	1:11	26	5	0	5	2	21	13	0	6	0	47	18	0	11	2	27.7%	1.326	1.455	2.781	1.387	1.120	2.507	1.557	4.049	5.607	0.437	0.479	0.915	191	16.2%	62	54	9	8	52.94%
69	CA	Logan Cooley	UTA	20	F	75	25	40	65	46	1	17:51	14:22	2:20	1:09	18	7	0	2	0	27	13	0	7	3	45	20	0	9	3	30.8%	1.120	1.792	2.911	1.002	1.503	2.504	2.400	4.456	6.856	0.333	0.533	0.867	158	15.8%	63	32	340	420	44.74%
70	CA	Dylan Holloway	STL	23	F	77	26	37	63	10	21	16:49	14:56	1:39	0:13	20	6	0	8	1	30	7	0	4	2	50	13	0	12	3	20.6%	1.204	1.714	2.918	1.043	1.565	2.608	2.810	3.279	6.089	0.338	0.481	0.818	178	14.6%	164	50	61	82	42.66%
71	CA	Matvei Michkov	PHI	20	F	80	26	37	63	46	-18	16:41	13:51	2:48	0:01	18	8	0	3	3	28	9	0	3	0	46	17	0	6	3	27.0%	1.169	1.663	2.832	0.974	1.515	2.489	2.137	2.404	4.540	0.325	0.463	0.788	200	13.0%	29	23	19	22	46.34%
72	CA	Macklin Celebrini	SJS	18	F	70	25	38	63	28	-31	19:47	16:27	3:10	0:10	17	8	0	4	1	24	14	0	4	1	41	22	0	8	2	34.9%	1.083	1.646	2.729	0.886	1.250	2.136	2.163	3.786	5.950	0.357	0.543	0.900	236	10.6%	37	53	507	544	48.24%
73	CA	Nikolaj Ehlers	WPG	28	F	69	24	39	63	17	14	15:47	13:14	2:32	0:01	18	6	0	5	2	23	16	0	8	1	41	22	0	13	3	34.9%	1.321	2.147	3.468	1.182	1.511	2.693	2.059	5.490	7.549	0.348	0.565	0.913	174	13.8%	38	33	5	14	26.32%
74	CA	Nick Schmaltz	UTA	28	F	82	20	43	63	14	-15	18:35	14:50	3:16	0:28	11	9	0	3	0	27	16	0	8	1	38	25	0	11	1	39.7%	0.787	1.693	2.480	0.543	1.332	1.874	2.013	3.579	5.592	0.244	0.524	0.768	186	10.8%	14	45	185	191	49.20%
75	CA	Ryan Donato	CHI	28	F	80	31	31	62	41	-15	16:18	14:24	1:51	0:02	26	5	0	3	0	22	9	0	4	0	48	14	0	7	0	22.6%	1.426	1.426	2.851	1.354	1.146	2.500	2.010	3.618	5.629	0.388	0.388	0.775	182	17.0%	104	18	234	291	44.57%
76	CA	Jonathan Huberdeau	CGY	31	F	81	28	34	62	34	-13	19:32	15:23	2:52	1:16	15	10	3	6	1	20	13	1	4	0	35	23	4	10	1	37.1%	1.061	1.289	2.350	0.722	0.962	1.684	2.581	3.355	5.936	0.346	0.420	0.765	153	18.3%	50	64	13	26	33.33%
77	CA	Mika Zibanejad	NYR	31	F	82	20	42	62	22	-22	18:45	13:53	2:52	1:59	13	7	0	0	0	24	12	6	9	0	37	19	6	9	0	30.6%	0.780	1.638	2.418	0.685	1.264	1.949	1.783	3.056	4.839	0.244	0.512	0.756	183	10.9%	44	46	549	507	51.99%
78	CA	Josh Morrissey	WPG	29	D	80	14	48	62	22	17	24:23	20:46	2:52	0:44	11	3	0	2	1	29	19	0	12	5	40	22	0	14	6	35.5%	0.430	1.476	1.906	0.397	1.047	1.444	0.785	4.971	5.755	0.175	0.600	0.775	172	8.1%	49	113	0	0	0.00%
79	CA	Tomas Hertl	VGK	31	F	73	32	29	61	20	-3	17:07	14:17	2:41	0:08	18	14	0	3	0	20	9	0	3	0	38	23	0	6	0	37.7%	1.537	1.393	2.929	1.036	1.151	2.187	4.263	2.741	7.004	0.438	0.397	0.836	177	18.1%	99	56	536	422	55.95%
80	CA	Gabriel Vilardi	WPG	25	F	71	27	34	61	14	9	18:08	15:16	2:50	0:00	15	12	0	6	0	21	13	0	9	1	36	25	0	15	1	41.0%	1.258	1.584	2.842	0.830	1.161	1.991	3.561	3.858	7.420	0.380	0.479	0.859	130	20.8%	21	50	75	77	49.34%
81	CA	Jared McCann	SEA	28	F	82	22	39	61	18	8	17:12	13:08	2:33	1:31	18	4	0	3	1	26	12	1	5	0	44	16	1	8	1	26.2%	0.935	1.658	2.593	1.002	1.448	2.450	1.147	3.440	4.587	0.268	0.476	0.744	202	10.9%	47	50	109	135	44.67%
82	CA	Adam Fox	NYR	26	D	74	10	51	61	32	9	23:14	18:18	2:55	2:01	8	1	1	2	0	32	17	2	9	0	40	18	3	11	0	29.5%	0.349	1.779	2.127	0.354	1.417	1.772	0.278	4.725	5.003	0.135	0.689	0.824	135	7.4%	40	108	0	0	0.00%
83	CA	Kevin Fiala	LAK	28	F	81	35	25	60	38	-7	18:30	15:25	3:03	0:01	21	14	0	6	0	14	11	0	6	0	35	25	0	12	0	41.7%	1.400	1.000	2.401	1.008	0.672	1.680	3.397	2.669	6.066	0.432	0.309	0.741	244	14.3%	63	22	15	22	40.54%
84	CA	Dylan Guenther	UTA	21	F	70	27	33	60	26	-4	16:59	13:24	3:22	0:12	15	12	0	9	3	16	17	0	4	0	31	29	0	13	3	48.3%	1.362	1.664	3.026	0.958	1.022	1.981	3.047	4.317	7.364	0.386	0.471	0.857	204	13.2%	53	42	10	19	34.48%
85	CA	Marco Rossi	MIN	23	F	82	24	36	60	26	3	18:14	15:49	2:22	0:02	17	7	0	3	2	27	9	0	6	3	44	16	0	9	5	26.7%	0.962	1.444	2.406	0.786	1.248	2.034	2.156	2.771	4.927	0.293	0.439	0.732	136	17.7%	62	41	464	528	46.77%
86	CA	Anthony Cirelli	TBL	27	F	80	27	32	59	28	30	18:41	15:19	1:18	2:03	20	3	4	2	0	27	2	3	4	0	47	5	7	6	0	8.5%	1.083	1.284	2.368	0.978	1.321	2.299	1.726	1.151	2.877	0.338	0.400	0.738	160	16.9%	25	72	647	645	50.08%
87	CA	Vincent Trocheck	NYR	31	F	82	26	33	59	44	0	21:05	16:06	2:46	2:13	15	5	6	7	1	25	7	1	4	0	40	12	7	11	1	20.3%	0.902	1.144	2.046	0.682	1.136	1.818	1.318	1.846	3.164	0.317	0.402	0.720	202	12.9%	213	78	910	624	59.32%
88	CA	Patrick Kane	DET	36	F	72	21	38	59	12	-16	17:58	14:59	2:58	0:00	9	12	0	6	2	21	17	0	4	1	30	29	0	10	3	49.2%	0.973	1.761	2.735	0.500	1.167	1.667	3.360	4.760	8.120	0.292	0.528	0.819	175	12.0%	19	23	5	8	38.46%
